date,portfolio,daily_return,cumulative_return,rolling_volatility_20d
2023-08-15,equal_weight,-0.0021235955798339706,-0.0021235955798339923,
2023-08-16,equal_weight,-0.004320210265493719,-0.0064346314659039505,
2023-08-17,equal_weight,0.0029234449838346113,-0.0035299977731511056,
2023-08-18,equal_weight,-0.009114203170585755,-0.012612027826840677,
2023-08-21,equal_weight,-0.007660910669392806,-0.020176318877692112,
2023-08-22,equal_weight,0.0021674930490708454,-0.018052557859544405,
2023-08-23,equal_weight,-0.010852304082219712,-0.028708950094410435,
2023-08-24,equal_weight,0.005125736737986553,-0.02373036787663174,
2023-08-25,equal_weight,-0.006032250471219581,-0.029619470825045346,
2023-08-28,equal_weight,0.007146337278488413,-0.022684804275083126,
2023-08-29,equal_weight,0.011860478085053437,-0.011093378813997967,
2023-08-30,equal_weight,0.0009496965231702737,-0.010154217634117502,
2023-08-31,equal_weight,-0.0026747588807719104,-0.012801816431095348,
2023-09-01,equal_weight,0.0007786385096869355,-0.012033145908675658,
2023-09-04,equal_weight,0.008330798331534696,-0.0038025932890001224,
2023-09-05,equal_weight,-0.0037647420426520917,-0.007553019548826034,
2023-09-06,equal_weight,-0.0016928100329513197,-0.009233043754505954,
2023-09-07,equal_weight,-0.010707909787030291,-0.01984208694195333,
2023-09-08,equal_weight,-0.0001714256307326023,-0.02001011113041684,
2023-09-11,equal_weight,0.005758215854461613,-0.014367117815116015,0.10193288456223383
2023-09-12,equal_weight,-0.0014212512040259642,-0.015767949735648767,0.10183356579374449
2023-09-13,equal_weight,-0.005267867983143382,-0.020952754241219895,0.10233857724673277
2023-09-14,equal_weight,-0.00013240254607882482,-0.02108238258928985,0.10146838240072349
2023-09-15,equal_weight,-0.0035592289564112312,-0.024566574519119144,0.09731213247630244
2023-09-18,equal_weight,0.0013403810608369371,-0.023259122029497203,0.09382142240563908
2023-09-19,equal_weight,-0.0013059709054978217,-0.024534717198336997,0.0934974924391271
2023-09-20,equal_weight,-0.0027245694465685365,-0.027192440104046756,0.08545307448072577
2023-09-21,equal_weight,-0.00613601330765532,-0.03316160023735604,0.08600251790275243
2023-09-22,equal_weight,0.011940004206004228,-0.021617545677663608,0.09388907486382563
2023-09-25,equal_weight,-0.003085780720806475,-0.02463661939278672,0.09116272158305522
2023-09-26,equal_weight,-0.0038014751268097727,-0.028344439023766044,0.08024254230470565
2023-09-27,equal_weight,-3.0181979697596345e-05,-0.028373765512180515,0.0800233217210971
2023-09-28,equal_weight,-0.0032314007625153353,-0.0315134792671844,0.08020972010446487
2023-10-09,equal_weight,-0.003597766827734095,-0.03499786794458448,0.08046686342367537
2023-10-10,equal_weight,-0.006255808059537515,-0.041034736059767596,0.07404292231345351
2023-10-11,equal_weight,0.0018763793090879944,-0.0392353534803761,0.07485413079682851
2023-10-12,equal_weight,0.006705684176057392,-0.0327927691932941,0.08045810299448473
2023-10-13,equal_weight,-0.004604104422877264,-0.0372458922824902,0.07349793629519769
2023-10-16,equal_weight,-0.006110158467906124,-0.043128472446271715,0.07572240712711474
2023-10-17,equal_weight,0.002543863866891094,-0.040694321542070866,0.0726105765183256
2023-10-18,equal_weight,-0.0049330747542775995,-0.045426648166106864,0.07372239029796929
2023-10-19,equal_weight,-0.008440936623528473,-0.05348414133144597,0.07666445066471034
2023-10-20,equal_weight,-0.002016199586558276,-0.05539250621436442,0.07645234641801174
2023-10-23,equal_weight,-0.012709063481350235,-0.06739758281784525,0.08563745104621337
2023-10-24,equal_weight,0.0047808127335389645,-0.06293898530645159,0.08836653891731455
2023-10-25,equal_weight,-0.0001096510386513038,-0.06304173501999244,0.08860307264709638
2023-10-26,equal_weight,0.004970037159902319,-0.05838501762576409,0.09191301714146728
2023-10-27,equal_weight,0.013332458396092253,-0.04583097504812239,0.10434306497813604
2023-10-30,equal_weight,0.008176085455669302,-0.038029607560963075,0.0990458197366622
2023-10-31,equal_weight,-0.0014684948878664894,-0.03944225616453867,0.0987224828120212
2023-11-01,equal_weight,-0.002106101511225544,-0.04146528828044993,0.09820865820445297
2023-11-02,equal_weight,-0.004262968552824532,-0.045551491613301076,0.09899402527985658
2023-11-03,equal_weight,0.006077591427283325,-0.039750743540946765,0.10153490484295584
2023-11-06,equal_weight,0.01200277970871373,-0.028225083250212668,0.10979847360393477
2023-11-07,equal_weight,-0.002448012759869989,-0.030604000646137663,0.10755880429346072
2023-11-08,equal_weight,-0.001156541494900809,-0.031725147344381255,0.10760632978573978
2023-11-09,equal_weight,-0.0019883439043723475,-0.03365041074541608,0.10526096205704617
2023-11-10,equal_weight,-0.002093958162573961,-0.03567390635573575,0.10418378705274488
2023-11-13,equal_weight,0.0007267872631150586,-0.0349730464333855,0.10157067416941079
2023-11-14,equal_weight,0.001256753692390289,-0.033760245246234555,0.10132016831705813
2023-11-15,equal_weight,0.004722815258365775,-0.029196873389243816,0.10039828669048957
2023-11-16,equal_weight,-0.008818712005061347,-0.03775810657643719,0.1008704204744124
2023-11-17,equal_weight,0.0019408261625385003,-0.03589056233499022,0.10035922496012378
2023-11-20,equal_weight,0.000386611376132318,-0.0355178266585523,0.08634956130082162
2023-11-21,equal_weight,-0.0018289741589417874,-0.03728183963035381,0.08640525509846325
2023-11-22,equal_weight,-0.009344158705797724,-0.046277630909801415,0.09434886711048406
2023-11-23,equal_weight,0.003902508450594278,-0.042555721304906036,0.09381323197240417
2023-11-24,equal_weight,-0.005298340934736068,-0.0476285875194451,0.08370051513826159
2023-11-27,equal_weight,-0.0009730293648015475,-0.04855527286998629,0.07782366013737026
2023-11-28,equal_weight,0.0031042835729612416,-0.04560171863297591,0.07878572406520154
2023-11-29,equal_weight,-0.0038779379227955597,-0.04930281592174002,0.07956863937633427
2023-11-30,equal_weight,0.0003316011832239507,-0.04898756361061196,0.07826982517003753
2023-12-01,equal_weight,0.001076842802540856,-0.0479634727133591,0.07491775960965871
2023-12-04,equal_weight,-0.0021634370277970223,-0.0500231437883063,0.05893645455967136
2023-12-05,equal_weight,-0.01387817471813697,-0.06320708857699875,0.074297864109548
2023-12-06,equal_weight,0.0018698139952313176,-0.061455460080586555,0.07535974765727563
2023-12-07,equal_weight,-0.0005454503027044089,-0.06196738948398717,0.07542177179614361
2023-12-08,equal_weight,0.0028421465004410786,-0.059301363382709416,0.07690527788129115
2023-12-11,equal_weight,0.005410538950954492,-0.05421167676818184,0.08021064471509154
2023-12-12,equal_weight,-0.0012144655818042028,-0.05536030413441917,0.07976929995506211
2023-12-13,equal_weight,-0.009668466035670644,-0.06449352094984173,0.0821163686923406
2023-12-14,equal_weight,1.4687608328145351e-05,-0.06447978059708892,0.07804098355187508
2023-12-15,equal_weight,-0.0034089009738523354,-0.06766887638407004,0.07731448990820076
2023-12-18,equal_weight,-0.0069234954444841405,-0.07412386667117565,0.07907832838064752
2023-12-19,equal_weight,0.0012254098256300639,-0.07298928896007806,0.07991937414578387
2023-12-20,equal_weight,-0.006832603374847324,-0.07932318547284911,0.07725952023590954
2023-12-21,equal_weight,0.006330649177425497,-0.073494703554288,0.08004635028339573
2023-12-22,equal_weight,0.00019552740876060956,-0.07331354637447096,0.07907569744418162
2023-12-25,equal_weight,0.001103694573230918,-0.0722907675645178,0.07955065125287804
2023-12-26,equal_weight,-0.004899703791188381,-0.07683626800780241,0.07880953422260187
2023-12-27,equal_weight,0.002272168090542692,-0.07473868483362345,0.0795245447492265
2023-12-28,equal_weight,0.017720493320025586,-0.05834259787893947,0.10443433088239831
2023-12-29,equal_weight,0.0029167643554406375,-0.05559600513339591,0.10499932189070851
