symbol,asset_name,asset_class,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,historical_var
510300.SS,沪深300ETF,csi_300,0.09548976673180576,0.1927518094402115,0.3916423246611413,-0.18214285714285772,0.01678272235537569
510500.SS,中证500ETF,csi_500,0.13146370663145768,0.25987209707117753,0.42891756324623176,-0.25951062689766113,0.02468723518065255
159915.SZ,创业板ETF,chinext,0.2029973524574742,0.35857365019748993,0.5103480201534206,-0.3371919342793124,0.026966354026021586
518880.SS,黄金ETF,gold,0.2846249125209279,0.20832344621942325,1.2702598642795269,-0.3051915322580643,0.01900722424521504
511010.SS,国债ETF,government_bond,0.032656779409059755,0.01500157486274248,0.8436967135026471,-0.015965408282055282,0.0012819185354248528
